[CODECSTATS]
CodecsTotal=370
CodecsVer=0.7.0

[#EVENT/#THIS/IDCODECS]
---	---	---	D A D 	iac	unregistered	Y	IAC (Indeo Audio Coder)
---	---	---	D V D 	idcinvideo	unregistered	Y	id Quake II CIN video
---	---	---	D V D 	idf	unregistered	Y	iCEDraw text
---	---	---	D V D 	iff_byterun1	unregistered	Y	IFF ByteRun1
---	---	---	D V D 	iff_ilbm	unregistered	Y	IFF ILBM
---	---	---	D A D 	imc	unregistered	Y	IMC (Intel Music Coder)
ivf	---	---	D V D 	indeo2	unregistered	Y	Intel Indeo 2
ivf	---	---	D V   	indeo3	unregistered	Y	Intel Indeo 3
---	---	---	D V   	indeo4	unregistered	Y	Intel Indeo Video Interactive 4
---	---	---	D V   	indeo5	unregistered	Y	Intel Indeo Video Interactive 5
---	---	---	D A D 	interplay_dpcm	unregistered	Y	DPCM Interplay
---	---	---	D V D 	interplayvideo	unregistered	Y	Interplay MVE Video
---	---	---	DEV   	j2k	unregistered	Y	---
---	---	---	D S   	jacosub	unregistered	Y	JACOsub subtitle
---	---	---	DEV D 	jpegls	unregistered	Y	JPEG-LS
---	---	---	D V D 	jv	unregistered	Y	Bitmap Brothers JV video
---	---	---	D V   	kgv1	unregistered	Y	Kega Game Video
---	---	---	D V D 	kmvc	unregistered	Y	Karl Morton's video codec
avi	---	---	D V D 	lagarith	unregistered	Y	Lagarith lossless
ac3	---	---	DEA   	liba52	unregistered	Y	Older FFmpeg versions
aac	---	---	 EA   	libaacplus	unregistered	Y	AAC (Advanced Audio Codec)
amr	---	---	DEA   	libamr_nb	unregistered	Y	Older FFmpeg versions
amr	---	---	DEA   	libamr_wb	unregistered	Y	Older FFmpeg versions
drc	---	---	 EV   	libdirac	unregistered	Y	libdirac Dirac 2.2
aac	---	---	 EA   	libfaac	unregistered	Y	libfaac AAC (Advanced Audio Codec)
aac	---	---	D A   	libfaad	unregistered	Y	libfaad AAC (Advanced Audio Codec)
aac	---	---	 EA   	libfdk_aac	unregistered	Y	AAC (Advanced Audio Codec)
gsm	---	---	DEA D 	libgsm	unregistered	Y	libgsm GSM
wav	---	---	DEA D 	libgsm_ms	GSM	Y	libgsm GSM Microsoft variant
mp3	---	---	 EA   	libmp3lame	MP3	Y	libmp3lame MP3 (MPEG audio layer 3)
amr	---	---	DEA D 	libopencore_amrnb	unregistered	Y	OpenCORE Adaptive Multi-Rate (AMR) Narrow-Band
---	---	---	D A D 	libopencore_amrwb	unregistered	Y	OpenCORE Adaptive Multi-Rate (AMR) Wide-Band
---	---	---	D V D 	libopenjpeg	unregistered	Y	OpenJPEG based JPEG 2000 decoder
drc	---	---	DEV   	libschroedinger	unregistered	Y	libschroedinger Dirac 2.2
---	---	---	DEA D 	libspeex	unregistered	Y	libspeex Speex
ogm	---	---	 EV   	libtheora	THEORA	N	libtheora Theora
aac	---	---	 EA   	libvo_aacenc	unregistered	Y	AAC (Advanced Audio Codec)
amr	---	---	 EA   	libvo_amrwbenc	unregistered	Y	---
ogg	---	---	DEA   	libvorbis	VORBIS	Y	libvorbis Vorbis
webm	---	---	 EV   	libvpx	WEBM	Y	webm vp8
avi	h264	mp4	 EV   	libx264	H.264	Y	libx264 H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
---	---	---	 EV   	libx264rgb	unregistered	Y	libx264 H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10 RGB
---	---	---	 EV   	libxavs	unregistered	Y	libxavs - the Chinese Audio Video Standard Encoder
avi	---	mp4	 EV   	libxvid	XVID	Y	libxvidcore MPEG-4 part 2
---	---	---	 EV   	ljpeg	unregistered	Y	Lossless JPEG
---	---	---	D V D 	loco	unregistered	Y	LOCO
aff	---	---	D A D 	mace3	unregistered	Y	MACE (Macintosh Audio Compression/Expansion) 3:1
aff	---	---	D A D 	mace6	unregistered	Y	MACE (Macintosh Audio Compression/Expansion) 6:1
mdc	---	---	D V D 	mdec	unregistered	Y	Sony PlayStation MDEC (Motion DECoder)
---	---	---	D S   	microdvd	unregistered	Y	MicroDVD subtitle
---	---	---	D V D 	mimic	unregistered	Y	Mimic
avi	---	---	DEV D 	mjpeg	MJPEG	Y	MJPEG (Motion JPEG)
avi	---	---	D V D 	mjpegb	unregistered	Y	Apple MJPEG-B
---	---	---	D A D 	mlp	unregistered	Y	MLP (Meridian Lossless Packing)
mm	---	---	D V D 	mmvideo	unregistered	Y	American Laser Games MM Video
---	---	---	D V D 	motionpixels	unregistered	Y	Motion Pixels Video
---	---	---	DES   	mov_text	unregistered	Y	3GPP Timed Text subtitle
---	---	---	D A D 	mp1	unregistered	Y	MP1 (MPEG audio layer 1)
mpa	---	---	D A D 	mp1float	unregistered	Y	MP1 (MPEG audio layer 1)
